size,age,rooms,distance,price
779,26,1,18.09,39940
892,30,6,31.66,354777
2462,5,5,25.76,468969
4284,26,5,27.22,639258
464,39,1,5.7,61333
2968,33,6,9.75,555580
2427,11,1,31.58,261017
3095,44,2,38.85,369424
1895,6,3,10.88,311847
791,9,5,11.23,329234
4914,44,2,19.18,590292
4874,16,3,39.36,600959
3961,25,2,11.12,549168
2678,20,6,16.58,547116
3499,27,5,35.71,591923
600,45,1,0.62,119260
3504,1,1,2.07,492040
4998,42,3,24.36,646198
2854,0,4,36.34,504407
4045,35,6,9.93,752236
1204,25,3,19.05,242890
3131,28,4,18.29,519832
3173,20,2,19.18,434144
1970,10,6,25.09,442030
3090,39,2,19.05,348826
4240,10,5,18.17,692469
1428,35,6,19.23,447020
902,48,4,23.84,253492
4893,38,5,21.71,705932
1270,39,1,34.24,81333
4888,34,4,2.46,710456
606,33,3,33.42,111962
1884,46,1,33.84,177448
1263,23,1,11.75,156000
3190,21,3,18.78,456370
963,4,6,17.82,366062
4591,32,1,9.13,537128
2157,35,4,16.17,372198
2078,46,5,2.25,409515
3642,19,1,11.47,442997
1459,18,4,32.76,271635
2122,34,2,11.74,256519
3714,42,4,32.82,530096
3557,16,5,21.5,619671
3025,44,4,35.25,457691
3129,42,3,23.2,420352
1997,33,5,1.67,417971
3460,8,6,27.18,629888
3093,25,2,2.27,467894
4027,1,3,18.3,571603
1763,8,6,37.21,423094
2381,8,4,7.03,485969
2063,39,5,15.9,472190
1929,16,2,29.33,207537
2438,0,3,35.35,333536
3702,24,6,27,620674
2637,42,6,10.7,552850
1706,39,2,27.15,256056
4429,41,4,12.22,621034
3075,24,2,28.88,341474
1682,38,6,38.18,406780
1109,34,1,29,85029
4813,2,3,34.58,643805
4148,49,2,0.58,532472
1063,36,6,28.84,326095
2398,43,4,33.27,351405
3845,43,6,2.1,707642
4143,29,4,34.93,600059
1895,37,2,10.64,260273
3704,33,4,26.78,585455
4163,11,5,32.11,626921
2253,18,5,26.68,450717
1691,36,5,4.15,361383
3981,43,1,24.05,479530
3857,48,2,22.21,475900
2036,16,6,36.06,444959
4096,9,6,16.47,775647
3399,48,1,13.18,358827
3552,46,4,30.12,566371
1098,11,1,16.8,98224
2560,15,4,26.02,467008
4497,23,4,26.03,652128
1254,18,3,35.58,198265
3874,7,6,24.15,707517
2107,30,5,20.34,388636
3177,20,4,5.99,551016
2133,16,3,5.07,419921
3910,22,6,6.6,686382
602,36,5,7.29,271343
3655,15,4,25.7,610199
4618,5,4,29.77,684896
4896,7,1,21.43,571062
1166,24,1,33.25,141301
4789,17,6,39.65,755326
2727,24,5,32.89,517158
3331,11,4,27.95,556753
597,14,6,21.53,286915
2330,25,6,18.23,513235
3982,40,2,3.83,560110
1008,44,1,16.28,71597
3672,25,5,36.45,564750
1547,46,4,32.42,248923
4682,31,6,9.03,850703
3797,9,4,18.93,561670
2911,15,2,32.76,412105
2194,6,5,3.16,458986
1059,16,6,15.8,394405
3211,22,4,34.15,513862
1769,25,1,16.45,188045
2386,20,2,3.57,318457
546,21,5,21.93,242899
3619,6,2,34.54,456864
3311,13,1,23.82,384688
2134,14,5,9.44,437883
2243,6,2,15.68,282470
888,8,3,18.28,251211
3376,47,1,23.38,329249
2359,7,1,30.49,270712
2785,49,1,4.41,320915
3319,22,3,35.64,483542
2202,28,3,0.99,388579
4461,17,4,15.12,730147
3769,30,6,1.58,690759
662,29,2,16.02,133112
1023,38,4,21.27,208853
1416,34,2,20.71,179160
4043,17,6,7.04,773055
2449,41,3,26.01,333032
4123,38,6,2.27,761417
4948,16,3,30.6,675407
3508,13,6,37.89,593757
4490,30,4,13.92,708259
2456,23,5,20.93,450036
3570,34,4,15.47,557846
2082,43,2,0.77,319272
2655,44,4,15.74,482911
1554,33,1,31.77,130943
4899,2,2,24.04,607796
3591,36,6,4.5,722518
2096,42,2,33.96,227531
4391,39,5,21.48,680670
2048,25,3,33.75,287953
1845,22,6,23.42,438300
4599,43,2,22.61,590901
4323,38,6,4.66,815023
653,14,6,7.11,376642
3583,48,6,38.89,571554
2957,3,3,9.53,509454
498,28,4,39.11,185011
2600,21,6,21.51,543893
3361,24,1,5.86,433625
4833,12,5,4.42,803636
4177,17,3,8.75,654536
3269,32,2,37.06,362229
3634,15,3,16.86,543593
4191,44,2,16.12,561491
1356,41,3,12.87,255029
4467,43,2,6.31,569598
560,1,6,19.77,309481
4893,34,4,5.64,743607
1700,41,2,33.5,206935
4387,33,2,15.13,530179
1927,29,1,15.3,234162
1618,12,2,19.22,232432
4896,12,1,18.04,603991
3504,17,5,39.8,564052
3135,31,6,22.04,584842
4955,31,1,3.98,566265
1354,34,4,24.47,296705
4965,38,6,6.49,871329
3846,45,1,1.72,419939
1445,28,6,38.84,359329
2093,48,6,31.05,434367
3836,28,6,39.21,625739
962,43,5,19.38,260896
2885,15,4,21.52,491113
3754,43,3,7.15,577661
625,46,3,10.25,169093
1359,9,1,33.62,158915
4948,29,6,14.57,835142
3467,24,1,33.16,424881
1215,38,5,28.51,255666
3520,19,5,7.5,595885
416,4,2,20.54,86295
1643,0,5,27.26,359407
2605,29,2,9.78,342493
2924,48,4,33.31,462540
1469,2,1,22.02,183682
3844,44,4,7.03,605097
2965,13,5,23.53,507966
1460,29,4,39.99,309625
2727,49,4,6.45,437928
3820,3,4,32.76,618856
701,17,5,8.69,281449
4676,36,6,31.4,760108
1006,24,4,29.52,275711
3570,47,2,12.37,443679
1099,0,5,13.37,350088
1539,45,4,31.8,291213
590,14,6,18.73,335798
2700,8,5,29.37,484786
1380,14,3,6.35,312393
3375,48,6,34.18,590838
1584,23,2,28.58,259454
3727,3,4,36.32,564995
3794,11,3,5.73,556851
527,36,3,23.92,154942
2465,36,5,24.17,449161
2216,42,3,14.46,320939
969,5,2,18.61,173205
2295,38,2,2,303724
3133,45,1,29.96,293907
4263,23,2,22.2,494363
4414,10,6,2.78,780664
3301,12,3,27.39,445239
2086,33,2,18.94,258503
3409,24,5,1.86,672240
554,6,1,38.8,73372
2937,3,3,37.99,440089
1809,7,1,20.76,249324
4457,19,3,4.2,628324
1184,28,5,30.31,278643
3575,44,1,19.93,426710
4741,45,4,12.45,720266
3206,9,6,19.91,605159
937,42,6,21.14,314119
2241,33,3,22.73,323917
2855,25,4,17.93,517419
924,40,1,24.43,24123
3350,48,4,36.79,496321
4531,2,4,14.81,706635
4515,5,1,29.17,494563
2768,4,5,35.83,554546
4247,4,4,18.51,708632
4895,46,4,18.02,733638
3101,22,5,24.28,513951
1371,48,4,23.86,247701
1566,8,4,32.36,362737
3174,34,4,19.32,539399
2382,19,6,39.85,505054
1253,48,2,2.85,197017
4546,41,5,0.63,790168
4136,34,4,25.79,599177
4169,49,6,12.29,712203
974,17,5,10,376162
3661,16,3,12.82,591139
1548,23,3,10.61,316943
2115,2,4,1.72,439618
4254,31,6,38.88,685444
2891,34,6,9.22,608766
3060,37,5,29.49,546062
3524,12,5,30.62,564548
3451,46,6,37.21,636317
404,24,5,1.71,271686
1276,8,6,34.95,362448
1391,3,2,21.33,194646
4542,13,6,25.49,777814
4764,36,3,25.96,612062
4865,33,5,32.88,745855
1035,10,6,13.67,421608
2093,40,6,29.46,465584
2082,2,5,21.38,440698
519,27,2,31.84,97834
1230,28,2,39.63,151454
4075,8,5,8.43,734270
1769,2,1,39.79,156225
1140,24,5,4.05,384518
516,33,5,0.59,242074
3238,11,2,2.24,517795
1550,41,2,14,229767
2331,8,5,25.5,427364
1412,14,5,3.23,381913
2064,39,5,0.72,450709
1481,24,2,37.52,162367
912,4,5,32.97,292156
3249,10,5,32.46,532335
959,33,4,35.43,226426
4072,23,1,28.15,505802
4983,14,3,4.62,711327
3743,37,1,16.26,462818
4470,7,4,29.06,645273
1870,4,3,11.57,341646
980,47,5,27.65,261587
2694,25,4,1.47,532064
3547,17,5,12.59,681592
4649,5,2,22.19,651808
2079,36,6,25.47,508933
3906,47,4,23.29,601452
3144,12,2,28.06,457531
3756,27,4,0.74,647564
4445,4,4,4.49,741616
1643,12,2,34.82,235534
3518,16,3,27.43,459510
2541,49,1,4.96,256922
3459,39,5,33.76,544849
4948,44,4,10.07,712960
3359,31,5,19.39,573150
2665,28,6,6.24,586304
2879,2,2,28.55,420558
2035,39,5,26.84,362614
2157,33,2,8.84,346119
4852,39,5,34.6,707458
2470,26,1,16.35,243441
3249,12,1,12.05,426154
3651,44,1,6.52,449878
4130,32,1,11.01,512112
2889,5,1,1.37,361104
2031,23,1,23.54,209235
3216,18,2,33.77,380637
1415,15,4,22.18,274651
1748,39,5,9.16,448429
3487,27,1,1.83,393012
3239,32,2,8.98,456473
735,47,2,16.94,110011
4992,40,2,30.5,637805
1295,12,4,7.92,357328
3946,42,5,28.93,599273
1251,44,4,34.74,200666
2087,24,3,18.43,343115
2331,41,2,32.95,316910
4146,35,3,22.41,548608
2827,26,6,25.67,564013
1968,37,1,21.29,176190
4400,6,1,18.8,531046
3138,4,4,9.77,566205
3898,42,5,12.48,673367
4313,44,3,11.95,597234
1466,30,5,22.75,391471
4780,22,4,5.24,727302
2844,41,1,36.71,227430
4507,9,5,28.97,771690
3773,31,5,16.36,608328
4369,42,1,6.77,547564
2946,29,3,35.34,383717
1153,38,1,33.04,118705
2482,30,5,29.01,410737
3174,17,3,11.23,517022
3296,35,3,16.4,522760
4585,1,1,4.56,604655
1175,13,5,7.97,384578
2025,12,4,31.43,357244
3469,28,5,28.74,548862
817,11,2,23.94,106159
514,38,6,35.88,263765
1016,1,4,23.54,233781
4374,31,3,18.95,617149
3667,12,4,13.94,573630
1225,45,3,37.65,186521
1916,26,3,3.77,383049
3546,48,4,37.27,497415
812,40,3,33.16,95649
1128,16,3,5.63,291155
3748,39,2,22.82,427312
3208,30,5,34.73,559602
1075,33,5,23.09,322582
3865,23,6,36.33,704935
2904,44,6,37.75,513067
3367,34,2,17.18,452357
3186,47,6,15.4,559147
1522,5,4,37.48,309221
4479,18,1,27.17,533366
1971,29,1,5.08,200615
2543,6,1,2.17,352253
2087,9,2,22.8,251053
4532,40,2,37.24,498764
4251,31,3,33.85,536800
3840,33,1,27.2,464456
4166,27,4,6,630093
2726,14,6,10.54,595067
3314,29,4,35.08,472509
4352,36,6,7.72,745319
995,28,1,11.5,90839
1128,21,1,5.62,180069
1765,3,1,27.21,169375
4892,19,2,37.79,566019
1098,31,6,11.12,417569
795,35,2,19.28,76861
4571,49,2,25.56,596400
4760,3,5,39.98,709359
2902,26,4,4.64,514499
2219,16,4,20.19,454735
1117,11,3,15.71,230970
3182,21,2,34.7,387663
3977,16,6,19.3,698157
543,9,5,4.88,325053
3540,0,5,25.56,595930
4891,21,4,30.95,738506
3338,25,2,0.61,507235
4036,17,3,34.43,587592
3622,49,2,7.85,511006
1567,13,1,22.31,197218
3016,46,2,16.92,386279
1462,28,1,28.93,149126
2556,11,1,15.16,353551
3382,35,3,34.86,404447
3694,34,6,29.35,630348
1556,11,4,26.08,337978
1132,6,2,31.95,210326
4730,28,1,30.28,521828
1353,10,2,1.92,280904
2939,32,6,16.09,585330
3724,5,4,37.27,569786
3701,46,6,5.47,652340
1942,14,4,29.62,366383
1591,31,5,39,315918
3393,10,4,2.56,569270
3081,22,3,27.45,401896
1617,25,6,18.99,450401
1940,33,1,23.38,184125
3636,45,5,3.87,639151
2786,33,3,2.2,411635
4119,28,2,26.84,468350
1788,3,6,33.02,474288
2256,16,1,31.39,227843
1765,34,4,21.98,356329
899,12,1,4.44,119093
2080,40,2,27.68,295276
910,38,5,10.05,339054
4712,14,5,36.49,712774
1724,28,6,33.61,409885
1555,28,5,28.52,389545
2227,10,6,37.98,514294
3541,31,6,1.74,675619
3886,1,6,29.58,681498
2210,46,4,13.54,434555
3323,13,3,36.29,482861
2614,19,6,11.03,554721
4586,21,6,29.13,723835
1113,10,3,35.17,250403
4002,26,1,2.15,495559
4534,2,6,16.21,805498
3922,16,4,30.61,562959
4668,43,5,18.47,737344
1643,27,5,11.06,413189
4109,28,2,9.18,523336
1481,20,2,5.69,275995
855,46,5,34.36,278575
1294,15,5,23.23,348387
1784,36,4,3.52,358139
2358,19,3,15.61,408571
3472,5,2,15.03,493379
2396,18,3,7.68,444381
4685,4,4,17.7,698279
904,2,5,13.62,325412
1614,0,6,14,514845
1931,37,3,29.69,291203
3840,14,5,9.32,670203
1223,33,5,25.85,344629
1328,34,1,23.04,94688
533,48,3,22.94,128060
2505,24,6,26.69,556176
4027,23,3,22.16,532271
2252,11,5,35.23,392911
4575,17,6,27.19,772445
3333,14,4,22.11,503089
3684,43,1,33.28,393451
4698,15,5,24.44,744134
3211,26,2,12,423545
1650,7,2,8.68,236093
3912,45,1,6.52,430214
1656,24,4,36.03,270923
3776,16,5,28.55,657714
3886,28,3,37.53,478995
3984,7,1,24.33,438250
1796,14,4,19.2,361013
4037,26,3,2.86,597393
3730,45,2,27.03,488002
3103,49,2,23.5,371426
870,6,3,39.61,122553
1753,2,1,9.95,198795
3183,28,2,21.46,384781
3231,43,5,26.21,502992
757,23,6,25.96,313215
3419,2,3,22.67,508481
1067,19,3,31.19,180717
4868,45,2,8.6,638943
1545,14,1,29.16,132663
4585,24,5,24.98,699005
4119,29,1,35.89,452787
3145,13,4,33.96,470386
939,6,4,12.95,315883
3179,16,6,11.41,672335
4536,43,2,39.28,519285
4175,19,2,21.33,527570
2908,35,2,36.3,310880
3179,8,6,6.97,694778
1324,37,4,25.89,272034
3356,47,1,32.49,316306
1981,21,6,37.92,464073
3724,1,6,13.82,698374
4885,23,1,29.14,515265
655,7,2,21.78,119225
2238,10,5,2.89,545729
2344,12,1,27.75,284524
409,16,4,27.76,161015
3271,7,3,37.26,439018
1197,20,3,20.14,237579
1415,17,6,9.59,429611
2224,29,3,2.26,406976
4869,17,5,16.92,820878
3536,45,2,12.43,413946
2593,46,4,30.56,392902
623,30,5,14.49,274650
4558,37,4,37.99,670674
4325,31,4,38.51,604836
4400,10,2,25.03,603995
2033,44,6,37.18,406979
2552,24,3,30.55,385869
910,32,2,22.1,111378
784,37,5,7.62,296193
804,40,6,18.61,319256
4971,7,5,22.65,758251
2400,10,6,34.63,538812
3156,21,5,19.51,584682
2068,23,2,35.96,239923
1860,40,6,27.14,396538
4036,16,6,5.91,713087
3124,11,4,39.8,497070
4578,45,4,21.33,643180
2448,31,1,15.98,329330
4546,14,5,26.53,698987
1116,15,4,4.8,282889
4944,21,1,25.64,532151
4983,27,4,20.18,751694
2223,19,5,16.56,473814
2481,32,6,38.14,484179
3819,9,3,21.14,539954
1974,39,5,9.16,414863
649,31,2,18.63,94320
1073,49,4,36.82,249156
4933,32,4,7.46,762608
2565,1,6,8.95,605688
1170,32,2,1.01,227425
4362,32,6,1.06,777162
4763,40,2,33.26,528940
2384,12,3,29.42,395299
1477,29,4,14.52,271081
635,32,4,28.08,171077
788,12,3,16.11,151970
3437,25,1,38.14,331949
2248,21,6,38.7,509419
3214,38,3,16.02,499134
3774,1,6,34.24,679551
3678,37,5,31.04,591200
1652,38,4,12.74,351991
4381,25,6,9.67,811737
2522,45,2,18.6,273702
4930,49,6,31.36,796861
2550,14,5,38.43,497112
1729,33,4,30.66,338645
1758,41,3,34.28,256122
2882,43,5,24.32,543699
4942,48,4,33.5,678858
2417,39,6,31.48,468012
1731,10,1,15.39,173841
4744,2,1,22.3,621703
4661,5,2,32.29,548337
1758,8,4,2.32,412229
3577,5,1,32.42,431791
2528,8,3,7.53,464514
2580,38,4,20.83,388203
537,30,3,32.43,132873
3872,31,3,10.53,538385
3232,40,1,10.21,419099
3979,49,4,16.41,557534
3431,11,6,35.84,672105
4564,7,5,0.52,826042
2993,7,1,36.1,294039
4700,49,1,6.58,551690
4218,27,6,39.61,722719
4538,19,4,38.22,694528
4223,46,4,20.04,579698
4442,6,3,20.75,635040
2306,10,6,19.52,489780
1160,19,6,25.6,376021
3845,15,4,4.08,608040
1299,3,3,1.79,312700
4855,5,1,2.78,664486
3347,21,2,18.05,423977
2119,25,5,11.38,483057
680,2,1,25.07,76135
3666,40,4,39.7,490462
2287,41,5,15.76,422782
3666,13,2,23.17,442249
1066,10,2,16.92,187852
4588,17,3,33.97,581536
1071,11,5,36.14,256118
2369,22,3,35.16,294945
4556,11,1,38.99,555645
3522,12,6,1.59,731108
4300,24,6,33.67,715895
923,44,6,30.2,275291
2793,18,5,9.53,590976
3517,45,6,38.27,550836
2993,35,1,6.35,354393
2368,44,3,27.34,370379
2153,7,5,9.38,478136
2696,28,3,17.54,429944
2661,31,5,28.91,529714
2686,43,3,22.75,384968
4602,17,2,17.39,566739
3278,5,3,13.39,530245
4543,17,6,33.67,782206
4044,18,2,6.18,591044
4832,21,3,17.49,701345
2455,36,5,36.2,460255
1676,31,5,33.91,394211
3166,40,5,16.34,605858
702,2,4,30.64,248233
1038,27,1,33.01,98210
455,9,5,35.61,250854
925,34,2,22.01,137008
4969,28,5,8.58,841142
4523,14,4,10.58,749232
2525,32,6,12.18,567768
3687,6,2,23.96,456628
764,11,4,1.8,279575
2046,48,6,25.62,479086
1318,29,2,14.89,242565
3197,20,3,12.16,515853
1931,30,1,35.24,230265
3745,23,1,18.67,445890
2306,19,4,4.25,473860
3486,36,6,33.16,618509
4980,3,1,2.38,656246
2475,27,6,29.21,555800
1113,43,6,31.07,317939
1462,19,4,14.43,327229
2376,23,4,33.08,380484
1696,49,4,20.87,359273
525,48,1,18.8,11285
3996,31,4,2.29,638309
3683,40,1,11.96,473442
2003,35,4,37.27,311496
466,33,5,15.98,255053
632,35,6,22.09,294424
2556,1,4,21.51,463499
1569,14,2,23.82,256054
2558,33,6,2.92,611215
4606,35,6,14.81,810407
1893,5,4,29.06,396102
4407,38,3,8.42,669432
2872,41,4,8.54,468483
3060,11,6,0.9,682788
3139,2,2,17.78,436694
2161,44,6,35.37,437971
3914,17,2,2.55,551244
2375,39,1,8.05,297284
2762,20,5,12.75,516967
1276,14,6,29.4,365784
4212,32,4,25.81,606305
3848,34,1,16.93,413356
1712,25,5,30.48,394275
1860,7,4,24.58,352594
3109,35,3,35.89,413222
2724,47,4,32.81,377669
2133,29,2,10.49,325307
2005,22,2,11.22,337560
2963,41,3,5.45,440299
3821,43,1,13.81,451527
3917,13,5,39.98,660504
2797,13,4,16.53,459272
4135,1,2,9.21,615817
3270,36,1,30.62,374000
1560,4,3,21.93,293540
642,37,6,6.41,370283
2990,44,2,15.54,391135
1463,40,3,16.87,219894
4724,46,4,30.28,625869
2995,13,5,1.32,573723
1319,38,2,11.13,239476
405,24,2,20.95,129062
867,19,4,11.12,265065
4570,1,6,25.32,762821
403,38,1,19.53,29526
1045,5,5,14.79,319630
517,16,2,37.99,80066
3328,24,5,25.47,547220
2951,27,2,5.63,441336
4689,1,5,22.62,785900
1246,34,3,31.34,210607
3162,36,2,28.49,364514
1541,4,5,7.3,441639
2210,0,1,38.91,232777
1123,39,3,18.23,172533
624,11,3,6.78,240340
4608,35,1,7.62,527788
2448,44,5,4.38,506727
4815,22,4,32.24,731930
1973,46,1,5.32,250573
2228,30,5,5.44,452312
2317,10,1,34.09,286102
4634,9,1,14.11,532542
2426,2,2,1.72,427978
4144,13,5,2.55,702563
1301,15,4,6.12,337040
2439,9,2,8.93,409152
409,28,1,26.77,-8794
660,9,6,6.71,365597
2073,11,1,5.2,318558
2619,29,1,30.71,258502
2460,40,5,27.01,443010
4113,0,5,17.7,668394
2019,4,2,22.2,301496
720,19,4,12.82,200981
1742,7,2,19.56,224330
2776,42,3,20.51,430155
3232,11,1,15.8,406653
3224,0,6,36.31,565311
2394,19,1,1.13,341321
3358,27,1,31.4,390078
2438,42,2,5.41,367856
3890,36,6,32,673363
4077,46,6,24.83,741439
1518,36,6,33.81,373297
2004,11,2,4.35,348255
4427,36,1,22.58,501337
635,48,2,20.29,133120
2369,48,5,28.39,379807
4829,43,5,21.6,750169
2308,27,2,21.86,325135
775,46,6,17.47,357244
3930,14,1,12.7,468144
3035,5,2,19.55,469655
1970,43,2,5.18,271174
2960,19,2,38.48,336563
3791,49,3,28.72,520242
3365,13,5,38.12,601785
4043,1,6,9.46,811747
4250,8,4,35.23,607494
1272,36,6,32.45,356761
1652,19,4,27.25,364699
1714,25,3,25.19,326227
3298,28,2,13,471626
477,0,3,32.75,162167
3021,34,3,20.31,392892
4627,5,1,3.3,545601
1000,36,5,12.86,270777
1465,4,4,37.44,279471
2536,32,2,34.1,330504
2849,48,4,39.29,421055
2743,13,6,25.31,528795
2263,11,4,10.28,394567
1718,41,6,6.93,450147
3997,19,5,7.88,692883
4162,49,6,1.28,718269
2590,23,4,15.93,450463
1392,42,4,8.06,320496
3112,33,6,16.76,600839
2592,24,3,37.43,394283
1648,49,5,17.51,317098
3454,28,1,35.18,404655
4998,38,2,24.42,639444
4433,30,4,10.26,728497
2397,46,2,14.56,268218
4087,42,1,3.81,507629
2551,49,2,13.67,372859
4418,22,1,27.26,509445
3510,43,6,3.35,652849
2370,37,3,8.61,406957
597,19,4,15.57,221748
3026,22,1,39.29,337573
1602,44,2,31.5,233479
2435,15,4,29.47,412301
877,49,3,5.09,178014
1654,41,6,31.35,352782
1322,7,4,31.52,308383
819,49,1,24.24,88034
2604,20,3,39.62,332978
2997,0,2,13.35,393643
1520,7,3,37.68,249462
3468,28,3,36.63,498006
1350,31,5,0.95,390999
2736,37,3,18.28,367152
2643,4,3,39.1,379684
3045,46,4,4.57,492559
2257,21,2,22.14,271201
2265,46,4,39.17,376994
3312,33,4,22.44,475865
3253,0,1,8,472622
3628,25,4,23.5,532142
4119,42,5,8.58,713377
3628,9,5,21.03,662263
2771,29,1,3.42,317246
3291,49,6,24.42,614846
4156,17,2,20.91,496411
4625,16,2,29.74,555697
494,25,4,25.41,138225
3074,7,4,22.21,487814
2355,46,6,27.75,455029
1193,39,4,6.19,270600
2234,48,2,24.02,251563
2516,11,3,7.3,447408
4506,26,5,37.06,706763
3725,7,3,3.2,611125
3319,24,3,17.5,453060
2997,45,2,27.98,315269
3605,3,3,18.59,527232
1214,32,6,4.14,449064
745,0,1,22.36,90619
2749,18,4,25.84,461693
762,30,1,28.3,98166
2843,15,5,15.24,536633
2665,13,4,22.76,477065
2588,47,3,18.3,346269
3405,4,5,27.05,604695
3681,40,4,23.55,530521
1384,25,6,21.27,372116
2039,27,6,10.36,478468
1227,1,6,0.58,469791
3130,49,6,7.38,587304
3931,5,3,5.12,616761
4851,8,1,18.24,553900
3335,32,4,24.68,504280
4276,40,3,8.92,650362
526,24,6,37.59,270623
3577,47,1,0.76,422150
3456,12,5,31.01,542687
1003,8,5,25.2,287065
3849,12,5,15.26,697844
4546,30,6,2.49,773566
3933,40,5,25.29,649689
3767,10,2,15.73,506507
3768,3,4,37.48,599614
4197,33,4,21.91,634355
2192,37,6,37.62,443746
3261,45,2,9.21,434461
3876,3,3,29.17,514157
3817,37,3,24.88,524872
2045,18,5,29.71,375327
1605,5,1,8.98,203416
3430,33,3,26.77,428843
3272,17,1,20.17,391098
3472,12,4,29.84,499258
2254,40,1,13.42,273844
4421,22,4,35.66,673407
3108,18,2,3.83,452461
3902,44,2,32.38,470132
1732,10,6,34.52,413284
601,0,6,32.78,355174
3907,23,5,20.75,625262
4612,6,3,17.82,645828
974,24,5,39.85,233496
936,20,4,9.55,300216
2025,14,5,22.1,401768
2522,0,1,26.99,278926
785,11,4,28.18,272585
3681,6,6,8.56,692600
874,14,2,26.33,102231
817,20,6,32.83,265246
4000,18,3,2.48,562938
1354,28,4,36.51,229855
1605,24,4,1.67,354279
4520,32,1,14.56,485286
2390,48,3,1.12,370953
3972,31,2,3.55,499496
4780,48,4,36.49,652662
4558,34,4,14.52,730119
3113,43,1,17.28,302078
2603,37,5,9.01,486971
3520,25,2,24.09,494896
1366,10,6,23.99,418841
3832,34,3,15.2,564937
1088,7,4,13.65,341073
4643,45,4,35.46,632814
4101,13,6,15.64,729257
741,9,2,19.99,177960
2124,1,5,11.69,514139
4822,45,4,31.58,685486
2192,8,2,16.2,367521
2159,2,6,20.79,504954
3612,20,1,10.51,394007
1389,25,5,39.51,317370
2662,7,3,12.01,474987
2882,47,4,30.94,478708
1351,1,2,17.39,252226
1122,5,1,8.65,131156
3789,27,3,32.09,549324
2479,28,2,13.68,321552
3117,25,2,34.68,378297
2732,24,3,36.65,402913
3776,11,1,34.46,407417
4924,4,6,1.88,854004
1900,33,1,31.6,137254
685,47,5,16.75,276660
3895,36,4,35.01,554998
2465,14,3,25.7,414348
1168,43,6,33.43,342971
3457,35,3,20.23,486491
4689,14,3,21.63,645033
2561,42,1,6.2,338598
3693,47,4,31.47,543213
1346,22,5,17.07,314228
3735,5,2,20.25,531372
4550,45,2,31.51,554105
1881,49,3,24.15,314864
2301,43,4,8.44,427842
3851,42,6,23.81,694545
4464,44,1,16.6,500702
454,20,4,19.05,195603
2223,22,4,1.62,456853
3862,42,1,8.8,456572
3479,15,3,11.6,528700
1232,46,4,28.66,270024
4808,14,2,0.95,613522
3206,24,1,16.65,336880
2890,35,6,37,587119
727,10,5,4.92,276675
3710,14,3,20.9,583613
3700,3,1,31.57,391129
4075,20,5,37.73,659482
3454,12,5,30,615400
2543,21,6,28.96,498793
1711,18,4,33.15,295386
3591,33,6,18.12,655716
2938,13,4,32.33,442269
4383,3,4,0.81,683135
4947,47,1,37.02,542621
564,45,1,18.01,54814
4677,26,3,22.36,620663
1222,28,4,10.57,276925
1343,46,5,29.83,343709
4825,27,2,3.53,670079
1174,34,3,34.97,142308
2598,7,1,33.21,242961
3556,15,6,9.03,702489
4642,41,3,32.47,611394
